alumno.pret;sexo.pret;coleg.pret;curso.pret;grup.pret;pais.pret;ren.mat.pret;ren.leng.pret;ECE1.pret;ECE2.pret;ECE3.pret;ECE4.pret;ECE5.pret;ECE6.pret;ECE7.pret;ECE8.pret;ECE9.pret;ECE10.pret;ECE11.pret;ECE12.pret;ECE13.pret;ECE14.pret;ECE15.pret;ECE16.pret;ECE17.pret;ECE18.pret;ECE19.pret;IEA1.pret;IEA2.pret;IEA3.pret;IEA4.pret;IEA5.pret;IEA6.pret;IEA7.pret;IEA8.pret;IEA9.pret;IEA10.pret;IEA11.pret;IEA12.pret;IEA13.pret;IEA14.pret;IEA15.pret;IEA16.pret;IEA17.pret;IEA18.pret;IEA19.pret;IEA20.pret;IEA21.pret;IEA22.pret;IEA23.pret;IEA24.pret;IEA25.pret;IEA26.pret;IEA27.pret;IEA28.pret;PRE_Emotion_Engage;PRE_Cognitive_Engage;PRE_Behavior_Engage;PRE_Enviroment_Manage;PRE_Information_help_Manage;PRE_Maladapative_Behavior;PRE_Time_Manage;PRE_ENG_EMOC;PRE_ENG_COGN;PRE_ENG_COND;ZPRE_ENG_EMOC;ZPRE_ENG_COGN;ZPRE_ENG_COND;LPA_4perfiles;LPA_3perfiles;Gestión_Entorno;Gestión_Tiempo;Desadaptativo;Gesti_Infor;enviroment_manag;time_manag;maladaptative_behavior;informati_manag
8;1;13;5;2;1;5;5;1;3;5;5;2;4;5;3;2;3;2;2;4;4;1;5;4;4;3;4;4;3;1;5;2;3;2;3;1;4;1;1;3;2;4;4;2;1;2;3;3;2;5;5;4;4;4;,303079487000281;-,87632863024405;,586093390383247;,0961241351530625;-1,39026263631475;-,825288470370432;-,456435201199113;3,8;2,42857142857143;4,5;,208777390986714;-,632543450137276;,524980723443018;3;2;-,365646215514686;-,223661975005085;-,781346062494157;-,845860508072624;3,6;3,33333333333333;2;3,14285714285714
9;2;13;5;2;1;2;4;4;5;4;3;5;5;5;5;4;1;5;5;5;5;1;5;5;5;4;5;5;5;1;5;4;5;5;5;1;1;1;4;4;4;5;4;5;4;3;5;5;1;5;5;1;4;5;1,22183122530057;2,17779413609015;-,67094322512274;,987132110235776;-,929926374744381;,865826757116107;1,78146224567851;5;4,57142857142857;4,25;1,52593147702456;2,14566536767456;,12599537362633;4;1;,921649939537418;1,67257743521854;,28416239292381;-,713153731001768;5;4,77777777777778;2,14285714285714;4
10;2;13;5;2;1;3;4;3;5;4;5;3;5;5;3;3;2;5;3;5;5;3;3;5;5;5;5;5;5;1;3;3;3;1;1;4;5;1;1;3;5;5;3;2;1;1;4;3;3;5;5;3;5;5;-,11987047010964;1,2523222034455;,879147102943535;1,87049178737648;-,460464037777287;,485840410579889;-1,47329575333365;3,8;4,14285714285714;4,75;,208777390986714;1,59002360411219;,923966073259706;4;1;1,75717889688166;-,749801002155973;,334714904290374;-1,14524133309612;4,4;3,33333333333333;2,28571428571429;3,28571428571429
11;1;13;5;2;1;4;4;3;4;5;5;4;5;4;3;2;3;3;1;5;3;3;3;3;5;3;3;4;2;1;3;2;3;5;5;2;4;3;3;3;3;2;1;3;3;3;2;5;3;3;4;1;3;4;-,275848463132054;-,402335659177364;1,05843781377211;-1,23042034078303;-2,16122164986753;,740506557414181;1,56755705943947;3,4;2,71428571428571;5;-,230273971025901;-,262115607762365;1,32295142307639;3;2;-,893082016603116;,811759585134769;,770030446423988;-1,95438338196798;2,8;3,77777777777778;2,71428571428571;2,28571428571429
12;1;13;5;2;1;2;3;3;4;4;4;2;3;4;3;3;5;3;4;3;5;3;3;2;3;4;4;3;4;1;4;3;2;3;5;4;5;3;4;3;2;3;5;3;4;4;3;4;4;3;3;4;3;4;-1,11036394160974;1,49301254166664;-,897073555154771;-,499656045161786;-,848806917306052;2,0741349685314;,627027068369994;2,8;3,71428571428571;3,5;-,888851014044823;1,03438184054982;-1,07096067582373;3;2;-,737927486813762;,621763358462298;2,28977067604828;-,726972982166976;3;3,44444444444444;4;3
13;1;13;5;2;1;4;4;1;2;5;4;2;4;4;1;1;2;3;2;3;3;3;2;2;4;1;4;3;4; ;3;5;5;1;1;1;5;1;4;5;1;4;2;2;1;2;2;2;1;3;4;1;2;4;-1,31706142947298;-1,21793248358123;,387345878046885;-,352430309123835;-,553838256056011;-,425901291034252;-1,73977819234289;2,2;1,85714285714286;4,25;-1,54742805706375;-1,3733991348871;,12599537362633;2;3; ; ; ; ;3,6;2,66666666666667;2,14285714285714; 
14;2;13;5;2;1;3;4;3;5;5;4;3;3;4;2;1;2;4;5;5;5;1;3;2;3;5;5;5;5;1;5;3;5;5;5;1;3;1;1;5;2;5;3;5;1;1;4;4;3;5;5;1;5;5;-1,57004423968404;1,61869042685423;,137512930441213;1,04655036349905;-1,54258357445681;-,985833407047203;2,05362731565006;2,8;4;3,75;-,888851014044823;1,40480968292473;-,671975326007045;3;2;,881930420008586;1,44901353316792;-,784392717125394;-1,34405087462754;4,8;4,66666666666667;1,28571428571429;3,42857142857143
15;2;13;5;2;1;4;4;3;5;5;3;5;5;4;4;3;1;5;4;5;1;1;3;5;4;5;5;5;3;1;5;5;4;3;2;1;5;1;5;5;5;4;2;5;4;3;5;5;2;5;4;1;5;5;,344997258144636;1,06345201552333;-,0116207321082232;1,07140640937938;-1,21461471901882;1,31370741295713;,694821331544704;4,2;3,71428571428571;4,25;,64782875299933;1,03438184054982;,12599537362633;4;1;1,60361974117705;,939001329006092;1,27579517450725;-1,28412233441984;4,6;4,33333333333333;2,85714285714286;3,57142857142857
16;2;13;5;2;1;5;4;1;3;5;4;4;4;4;3;1;3;3;3;4;3; ;2;4;3;3;5;5;3; ;2;3;3;1;5;2; ;2;4;5;3;5;4;4;2;1;1;5;2;5;4;1;3;4;-,0279742548905378;-,790048786362878;-,0515086167310567;,98868901774915;-,504907987771564;,0751761978871158;-,0253847622973249;3,4;2,42857142857143;4;-,230273971025901;-,632543450137276;-,272989976190358;3;2; ; ; ; ;3,8;3,77777777777778; ; 
17;1;13;5;2;1;5;5;2;5;5;4;4;4;4;3;2;2;3;3;4;4;1;5;3;4;4;4;5;4; ;5;4;4;3;5;5;2;1;1;5;4;5;5;4;2;1;3;4;1;4;4;1;4;5;-,0941354570485846;,469827187469748;,278026149957789;,854565375000322;,392226895118768;1,21352003773789;,601008424169045;3,8;3,28571428571429;4,25;,208777390986714;,478740076987457;,12599537362633;3;2; ; ; ; ;4,2;4,11111111111111;1,85714285714286; 
