name,InDegree,OutDegree,Closeness_total,Betweenness,Eigen,Diffusion.degree,Coreness,Cross_clique_connectivity
5,16,17,0.00106044538706257,309.032739077208,0.161503653583146,1508,18,154
6,9,24,0.00107642626480086,250.376549721826,0.155009498233724,1607,18,141
7,32,26,0.00111358574610245,1934.72005657755,0.230204108522762,2088,21,588
8,13,18,0.00106044538706257,163.707895577107,0.136390256752636,1483,18,131
9,2,12,0.00103950103950104,69.5153191501915,0.119348228247647,1216,13,50
10,8,12,0.00105820105820106,716.350787330521,0.0874871528576683,1432,17,88
11,47,74,0.00114155251141553,1030.12567842698,0.536752923502057,2694,31,1423
12,6,18,0.000901713255184851,113.935619019416,0.0792423385538272,896,18,71
13,20,15,0.00105042016806723,396.273653180458,0.0814983741216172,1420,18,241
14,5,20,0.00106157112526539,323.501552479594,0.0851784950291187,1583,18,204
15,13,18,0.00108108108108108,824.080998755294,0.0918144938259554,1632,17,174
16,2,1,0.00076103500761035,2.45963678850313,0.00854246766124648,130,3,5
17,2,22,0.00106496272630458,292.625716701615,0.0822010944171813,1573,17,221
18,0,19,0.0010482180293501,125.139861015774,0.0681777720750051,1243,12,62
19,44,35,0.00111358574610245,3477.08291858399,0.324637711701878,1940,26,364
20,1,2,0.000753579502637528,9.97811035732088,0.0101110122903686,94,3,3
21,2,0,0.000752445447705041,0.790230966612789,0.00366888464990345,78,2,3
22,8,15,0.00105042016806723,97.1915579519831,0.168219272815968,1431,17,90
23,6,0,0.00078740157480315,5.44973797869207,0.0180802120751498,284,6,16
24,21,36,0.00111234705228031,1388.29054206523,0.255122294181237,2092,21,553
25,6,6,0.00099009900990099,215.016984023853,0.0528201458270186,740,10,12
26,22,12,0.00106723585912487,853.11516542416,0.0890963590789355,1617,18,194
27,13,18,0.00104275286757039,990.433819992416,0.111022984300499,1273,17,143
28,0,1,0.00072202166064982,0,0.00130399172981242,21,1,2
29,12,23,0.00108459869848156,1758.32221012226,0.0910494828540753,1690,17,234
30,32,58,0.00111856823266219,1082.03921033042,0.400889147705762,2224,28,624
31,0,1,0.000734214390602056,0,0.00135708808399067,36,1,2
32,11,4,0.00099403578528827,348.105114013227,0.0254295296807234,775,10,31
33,17,6,0.00102145045965271,263.057232442345,0.0553454644712057,1020,13,69
34,17,22,0.00107642626480086,568.848424847175,0.136816977586914,1834,21,418
35,15,19,0.00104166666666667,669.360240273681,0.132226852557472,1280,18,112
36,26,21,0.00111111111111111,2369.63714136631,0.155457597826836,1785,18,265
37,7,4,0.000813008130081301,56.0357924525629,0.0159166865346497,314,9,23
38,7,2,0.00100704934541793,52.4812897061642,0.0240341490194769,771,9,22
39,5,13,0.00105042016806723,318.410070944678,0.112357005095636,1321,14,74
40,0,1,0.000626959247648903,0,0.000952679022999324,36,1,2
41,29,6,0.000865800865800866,647.99060676734,0.0639169508547617,762,18,89
